,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
54782,Mystery Loss,/app/689740/,2017-09-21,6,13,5,18,63.06,Casual (4),Casual (4),InterSol OOO,InterSol OOO,Engine.Adobe_AIR,2017-08-25,72.0,1,1,6,2018-07-28
54783,Survive the Nights,/app/541300/,2017-12-21,1716,2369,1318,3687,63.05,Early Access (70),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), Simulation (28), Early Access (70)",a2z Interactive,a2z Interactive,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.cURL,2023-01-06,64.0,23,38,1716,2017-12-22
54784,Heroes of Arca,/app/588890/,2017-02-16,17,45,21,66,63.05,RPG (3),"Indie (23), RPG (3), Strategy (2)",IMPIRESOFT,IMPIRESOFT,Engine.Unity,2017-05-12,68.0,0,1,17,2017-05-02
54785,Chicago 1930,/app/623920/,2017-09-11,18,87,43,130,63.02,Strategy (2),Strategy (2),Microids,Spellbound,SDK.SDL; SDK.Vorbis,2019-09-27,67.0,3,4,18,2017-09-11
54786,Theory of Fear,/app/605180/,2017-03-28,7,39,18,57,63.0,Sexual Content (71),"Sexual Content (71), Nudity (72), Violent (73), Adventure (25), Casual (4), Indie (23), Simulation (28)",ANASTASI SUKHONOSOVA,ANASTASI SUKHONOSOVA,Engine.RenPy; SDK.SDL,2017-03-17,68.0,0,1,7,2017-03-31
54787,Make a word!,/app/703870/,2017-09-29,10,39,18,57,63.0,Casual (4),"Casual (4), Indie (23)",Educational Games,Educational Games,Engine.Unity,2022-10-18,68.0,0,1,10,2017-10-02
54788,Marble Run,/app/726720/,2017-10-29,97,39,18,57,63.0,Indie (23),"Indie (23), Simulation (28)",PS Games,PS Games,Engine.Unity; SDK.SteamworksNET,2021-11-21,68.0,1,1,97,2022-04-19
54789,Go Go Electric Samurai,/app/475530/,2017-08-15,13,15,6,21,62.98,Indie (23),"Action (1), Indie (23)",Hexagon Games,Hexagon Games,Engine.Unity; SDK.Photon,2017-01-30,71.0,0,0,13,2017-04-09
54790,Captain Lycop: Invasion of the Heters,/app/525070/,2017-02-10,488,15,6,21,62.98,Action (1),"Action (1), Adventure (25), Indie (23)",Aéronie,Aéronie,SDK.Vorbis,2017-02-08,71.0,0,0,488,2017-11-05
54791,Boofle's Home,/app/611090/,2017-03-27,4,15,6,21,62.98,Casual (4),"Casual (4), Free to Play (37), Simulation (28)",Eden Agency,Eden Agency,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2017-03-17,71.0,1,1,4,2017-03-29
54792,Concurrency,/app/636310/,2017-05-16,945,15,6,21,62.98,Adventure (25),"Adventure (25), Indie (23)",Restful Panic ltd,Andy Imm,Engine.GameMaker,2017-05-09,69.0,0,1,945,2023-03-26
54793,Simple Light Cycles,/app/655030/,2017-06-16,6,15,6,21,62.98,Casual (4),"Action (1), Casual (4), Indie (23)",Kelsam,Kelsam,nan,2022-10-28,71.0,0,0,6,2023-01-20
54794,SQUAKE,/app/526920/,2017-02-01,907,98,49,147,62.96,Action (1),"Action (1), Casual (4), Indie (23), Racing (9), Sports (18)",On5,On5,SDK.FMOD; SDK.SDL,2017-02-02,66.0,0,0,907,2017-02-02
54795,Princess of Tavern Collector's Edition,/app/545830/,2017-10-23,13,35,16,51,62.96,Strategy (2),"Casual (4), Indie (23), Simulation (28), Strategy (2)",RunServer,Far Mills,Engine.Unity,2017-10-12,68.0,0,1,13,2018-06-12
54796,Rival Books of Aster,/app/639230/,2017-06-20,26,35,16,51,62.96,Early Access (70),"Casual (4), Indie (23), Strategy (2), Early Access (70)",Stitch Media,Stitch Media,Engine.Unity,2022-01-19,68.0,0,1,26,2017-06-20
54797,Hellenica,/app/540690/,2017-01-23,43,33,15,48,62.94,RPG (3),"Indie (23), RPG (3), Strategy (2)",The Dragonloft,The Dragonloft,Engine.Unity,2017-01-17,68.0,0,0,43,2017-01-24
54798,Old Time Hockey,/app/543010/,2017-03-28,68,161,83,244,62.93,Sports (18),"Violent (73), Sports (18)",V7 Entertainment Inc.,V7 Entertainment Inc.,Engine.MonoGame; Engine.XNA,2017-10-27,65.0,1,4,68,2017-03-29
54799,Incorp Inc,/app/567200/,2017-04-04,153,17,7,24,62.93,Simulation (28),"Adventure (25), Indie (23), Simulation (28), Strategy (2)",Jippo Media,Jippo Media,Engine.Unity,2017-04-04,70.0,0,0,153,2017-11-22
54800,Popap,/app/607680/,2017-03-18,624,17,7,24,62.93,Casual (4),Casual (4),aqwatron,aqwatron,Engine.GameMaker,2017-03-10,70.0,0,1,624,2018-01-28
54801,Sandra and Woo in the Cursed Adventure,/app/619350/,2017-05-05,15,17,7,24,62.93,Adventure (25),"Adventure (25), Indie (23)",Feline Fuelled Games,Feline Fuelled Games,SDK.OpenAL; SDK.SDL,2022-11-04,70.0,0,1,15,2017-05-07
54802,ConcPerfect 2017,/app/651550/,2017-07-30,5,17,7,24,62.93,Indie (23),"Action (1), Casual (4), Indie (23), Racing (9)",Swimdog Co.,David Bohan,Engine.Unity,2017-12-28,70.0,0,0,5,2017-10-05
54803,Touch My Spinner,/app/702220/,2017-09-23,7,17,7,24,62.93,Indie (23),Indie (23),mibix,mibix,Engine.Unity,2017-09-18,70.0,0,0,7,2017-09-26
54804,Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work,/app/765860/,2017-12-18,8,31,14,45,62.92,Adventure (25),Adventure (25),Assemble Entertainment,Assemble Entertainment,Emulator.SCUMMVM; SDK.SDL,2020-03-05,69.0,1,2,8,2023-02-19
54805,Wrecked: Get Your Ship Together,/app/619600/,2017-04-14,14,29,13,42,62.91,Action (1),"Action (1), Free to Play (37)",Business Mouse Studios,Business Mouse Studios,Engine.Unity; SDK.OpenVR; SDK.Steam_Audio,2017-04-11,69.0,0,0,14,2017-04-17
54806,WWE 2K17,/app/510510/,2017-02-07,1663,1096,605,1701,62.9,Sports (18),"Simulation (28), Sports (18)",2K,Visual Concepts,SDK.Bink_Video,2019-09-20,64.0,12,20,1663,2017-02-08
54807,Remember Remember,/app/631990/,2017-05-12,12,27,12,39,62.9,Indie (23),"Violent (73), Adventure (25), Indie (23), Strategy (2)",Michaela Laws,Michaela Laws,Engine.RenPy; SDK.SDL,2017-05-06,69.0,0,0,12,2017-05-13
54808,Winged Sakura: Endless Dream,/app/339250/,2017-10-06,22,19,8,27,62.9,Strategy (2),"Action (1), Indie (23), RPG (3), Strategy (2)",WINGED SAKURA GAMES,WINGED SAKURA GAMES,Engine.Unity,2022-10-28,70.0,0,2,22,2017-10-08
54809,The Grand Ball,/app/632290/,2017-05-10,14,19,8,27,62.9,Indie (23),"Sexual Content (71), Adventure (25), Casual (4), Indie (23)",Last Lotus,Last Lotus,Engine.TyranoBuilder; SDK.Greenworks; SDK.NWJS,2017-05-10,70.0,0,0,14,2018-02-24
54810,Puppet Kings,/app/756020/,2017-12-11,3,19,8,27,62.9,Indie (23),"Action (1), Casual (4), Indie (23)",Plug In Digital,Timba Games,Engine.Unity,2019-09-06,70.0,0,0,3,2017-12-12
54811,Storage Inc 2,/app/549390/,2017-02-21,11,25,11,36,62.89,Casual (4),"Casual (4), Indie (23)",Stolpskott Studios,Stolpskott Studios,Engine.MonoGame; SDK.SteamworksNET,2017-01-15,69.0,0,0,11,2017-02-25
54812,Box Looter 2018,/app/746570/,2017-11-28,6,21,9,30,62.89,Indie (23),Indie (23),Ludo Land,Ludo Land,Engine.Unity,2017-11-15,70.0,0,0,6,2017-11-28
54813,Blossoms Bloom Brightest,/app/437720/,2017-04-28,17,105,53,158,62.88,Indie (23),"Adventure (25), Casual (4), Indie (23)",Reine Works,Reine Works,Engine.RenPy; SDK.SDL,2019-07-31,66.0,0,1,17,2017-04-29
54814,Screamer,/app/697580/,2017-08-31,3,23,10,33,62.88,Racing (9),Racing (9),Interplay,Graffiti,Emulator.DOSBOX; SDK.SDL,2022-12-07,69.0,0,0,3,2017-11-08
54815,Ticket to Ride: First Journey,/app/600430/,2017-09-27,222,193,101,294,62.82,Casual (4),"Casual (4), Strategy (2)",Twin Sails Interactive,Payoff Technologies,Engine.Unity,2019-12-12,65.0,1,4,222,2020-04-09
54816,The Grand Canyon VR Experience,/app/407710/,2017-01-13,16,48,23,71,62.75,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Immersive Entertainment Inc,Immersive Entertainment Inc.,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis,2016-12-22,67.0,0,0,16,2018-02-21
54817,FoxyLand,/app/718320/,2017-10-17,8,106,54,160,62.73,Adventure (25),"Adventure (25), Casual (4), Indie (23)",OraMonkey,BUG-Studio,Engine.Construct; SDK.NWJS; SDK.NodeJS,2018-10-11,66.0,0,1,8,2018-03-07
54818,Immersion Chess,/app/631660/,2017-05-15,27,78,39,117,62.7,Strategy (2),"Casual (4), Free to Play (37), Sports (18), Strategy (2)",Immersion,Immersion,Engine.Unity; SDK.OpenVR,2017-09-04,66.0,0,2,27,2017-05-21
54819,Subterra,/app/521590/,2017-09-18,1497,76,38,114,62.67,RPG (3),"Action (1), Adventure (25), Indie (23), RPG (3)",Senpai Studios,Warfare Studios,Engine.RPGMaker; SDK.SteamworksNET,2016-10-25,66.0,0,2,1497,2019-09-21
54820,Mr. Dubstep,/app/654610/,2017-09-18,72,105,54,159,62.56,Action (1),"Action (1), Casual (4), Indie (23)",EGAMER,EGAMER,Engine.Unity,2017-09-12,66.0,0,1,72,2018-05-25
54821,Impulse of War,/app/520860/,2017-02-24,241,287,155,442,62.55,Free to Play (37),"Action (1), Free to Play (37), Indie (23), Massively Multiplayer (29), Racing (9), Simulation (28), Early Access (70)",Dmitry Medvedev,Dmitry Medvedev,Engine.Unity; SDK.Photon,2017-02-24,65.0,0,1,241,2017-02-28
54822,2D Neon Cube,/app/701720/,2017-09-08,4,134,70,204,62.53,Indie (23),"Action (1), Indie (23)",Laush Studio,Laush Dmitriy Sergeevich,Engine.Unity,2017-08-21,65.0,0,0,4,2017-09-08
54823,Nyheim,/app/572300/,2017-01-31,750,53,26,79,62.52,Strategy (2),Strategy (2),Happy Hobgoblin,Happy Hobgoblin,Engine.Unity,2017-01-16,67.0,0,0,750,2022-01-11
54824,BlackEye,/app/627410/,2017-08-09,980,53,26,79,62.52,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",SA Industry,Dnovel,Engine.Cocos; SDK.OpenAL; SDK.Vorbis; SDK.cURL,2020-12-17,67.0,0,2,980,2022-06-27
54825,Angel Flare,/app/432790/,2017-07-22,115,4,1,5,62.51,Action (1),"Action (1), Indie (23)",Kuchnier Games,Kuchnier Games,Engine.Unity,2017-07-17,,0,0,115,2021-11-15
54826,vRhythm,/app/526440/,2017-09-07,2,4,1,5,62.51,Indie (23),"Indie (23), Early Access (70)",Pixelpointer Studios,Pixelpointer Studios,Engine.Unity; SDK.OpenVR; SDK.Vorbis,2017-09-07,,0,0,2,2017-09-08
54827,Legions of Tyrandel,/app/537020/,2017-09-22,79,4,1,5,62.51,Strategy (2),Strategy (2),Sleepy Spider Studios,Sleepy Spider Studios,Engine.Unity,2016-11-09,,0,0,79,2022-01-02
54828,Perso,/app/543940/,2017-04-20,3,4,1,5,62.51,Indie (23),"Casual (4), Indie (23)",Crepe Studios,Crepe Studios,Engine.Unity; SDK.OculusXRPlugin,2017-03-20,,0,0,3,2017-04-21
54829,Blowhards,/app/552000/,2017-02-28,24,4,1,5,62.51,Action (1),"Action (1), Casual (4), Indie (23)",Babloon Studios,Babloon Studios,Engine.Unity; SDK.FMOD,2017-06-22,,0,0,24,2018-02-03
54830,Minions Monsters and Madness,/app/566200/,2017-01-10,7,4,1,5,62.51,RPG (3),"Adventure (25), Indie (23), RPG (3), Strategy (2)",Adam Hebert,Adam Hebert,SDK.Adobe_Flash,2016-12-04,,0,0,7,2017-01-11
54831,Orbiz,/app/572480/,2017-02-16,30,4,1,5,62.51,Indie (23),"Gore (74), Action (1), Adventure (25), Casual (4), Indie (23)",Anoman Studio,Anoman Studio,Engine.Unity,2017-06-24,,0,0,30,2017-12-22
54832,The Physiology of the Eye,/app/582200/,2017-01-19,29,4,1,5,62.51,Simulation (28),"Casual (4), Simulation (28)",Intervoke,Intervoke,Engine.Unity; SDK.OpenVR,2018-08-16,,0,1,29,2020-09-16
54833,Hoop Route,/app/592560/,2017-08-30,3,4,1,5,62.51,Indie (23),Indie (23),Neither One Games,Neither One Games,Engine.Unity; SDK.OpenVR,2019-11-22,,0,0,3,2018-04-19
54834,Cornflower Corbin,/app/624780/,2017-08-17,7,4,1,5,62.51,Indie (23),"Action (1), Casual (4), Indie (23)",Afterthought Games,Afterthought Games,Engine.MonoGame; SDK.SteamworksNET,2019-06-13,,0,0,7,2019-10-29
54835,Nevertales: Smoke and Mirrors Collector's Edition,/app/630240/,2017-05-08,5,4,1,5,62.51,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Mad Head Games,nan,2017-04-25,,0,1,5,2018-01-02
54836,PsychLabVR,/app/630510/,2017-05-04,5,4,1,5,62.51,Education (54),"Education (54), Software Training (56)",Noah Robinson,Noah Robinson,Engine.Unity; SDK.OpenVR,2017-05-01,,0,0,5,2017-05-05
54837,Danse Macabre: Crimson Cabaret Collector's Edition,/app/647930/,2017-07-10,3,4,1,5,62.51,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Eipix Entertainment,nan,2017-06-01,,0,0,3,2018-02-07
54838,Double Play: 2-Player VR Baseball,/app/651690/,2017-07-21,3,4,1,5,62.51,Sports (18),Sports (18),Blue Newt Software,Blue Newt Software,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2017-06-12,,0,0,3,2017-08-07
54839,Humble Abode,/app/652120/,2017-06-27,3,4,1,5,62.51,Indie (23),"Adventure (25), Indie (23)",Venomyth Game Studio,Venomyth Game Studio,Engine.RPGMaker,2017-06-10,,0,0,3,2017-06-29
54840,MarionetteAI,/app/652520/,2017-11-20,4,4,1,5,62.51,Indie (23),"Indie (23), Simulation (28), Strategy (2)",Tsunehiko Shimazu,Tsunehiko Shimazu,Engine.Unity,2017-11-27,,0,0,4,2017-06-23
54841,DepthMera,/app/660110/,2017-08-09,3,4,1,5,62.51,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23)",David Sofer,David Sofer,Engine.Unity,2017-07-31,,0,0,3,2017-10-13
54842,Fos,/app/662690/,2017-06-29,2,4,1,5,62.51,Indie (23),Indie (23),Plaidman Games,Plaidman Games,Engine.Unity,2017-06-26,,0,0,2,2017-07-02
54843,Beyond the Horizon,/app/666850/,2017-09-22,2,4,1,5,62.51,Casual (4),"Adventure (25), Casual (4), Indie (23)",Pixel Fyzz,Pixel Fyzz,Engine.Unity; SDK.OpenVR,2017-07-18,,0,0,2,2017-09-29
54844,Tower Offence!,/app/671880/,2017-09-11,2,4,1,5,62.51,Action (1),"Action (1), Indie (23)",Daisessen,Daisessen,nan,2017-08-08,,0,0,2,2017-09-12
54845,Cruentis The Murderer vol.1,/app/674120/,2017-09-20,2,4,1,5,62.51,Adventure (25),"Gore (74), Adventure (25), Indie (23), Early Access (70)",Anunnaki s.r.l.,Anunnaki s.r.l.,Engine.Unity,2017-09-08,,0,0,2,2017-09-21
54846,Soldier Killer,/app/675160/,2017-08-15,2,4,1,5,62.51,Indie (23),"Action (1), Casual (4), Indie (23), Early Access (70)",SQUIX Games,SQUIX Games,Engine.Unity,2017-12-17,,0,0,2,2017-08-18
54847,Pulses - Crystal Journeys,/app/675830/,2017-09-11,2,4,1,5,62.51,Indie (23),Indie (23),Ventura Science,Ventura Science,Engine.Unity,2017-07-19,,0,0,2,2017-09-12
54848,VR Crane Master,/app/678100/,2017-08-09,3,4,1,5,62.51,Simulation (28),"Indie (23), Simulation (28)",MoreFromIT Sp. z o.o.,RealityBusters.co,Engine.Unity; SDK.NVIDIA_Ansel; SDK.OpenVR; SDK.Steam_Audio,2017-07-18,,0,0,3,2017-08-13
54849,Chimeras: The Signs of Prophecy Collector's Edition,/app/678410/,2017-07-21,4,4,1,5,62.51,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Elephant Games,SDK.BASS,2017-07-12,,0,1,4,2022-03-07
54850,Dr. Dungeon's MADMAN!,/app/684570/,2017-07-27,2,4,1,5,62.51,RPG (3),"Adventure (25), RPG (3), Strategy (2)",Robert J. Deutsch,Robert J. Deutsch,nan,2017-08-01,,0,0,2,2017-07-30
54851,Invictus: In the Shadow of Olympus,/app/692660/,2017-12-18,3,4,1,5,62.51,Strategy (2),"Adventure (25), RPG (3), Strategy (2)",Interplay,Quicksilver Software,nan,2022-11-16,,0,0,3,2020-12-30
54852,WackIt,/app/698570/,2017-08-25,2,4,1,5,62.51,Action (1),"Action (1), Casual (4), Indie (23)",Grambo Games L.L.P,Ross Grambo,Engine.Unity; SDK.OpenVR,2017-08-22,,0,0,2,2017-09-03
54853,Power of The Void,/app/717400/,2017-10-26,2,4,1,5,62.51,Indie (23),"Adventure (25), Indie (23)",SVGames,SVGames,SDK.NWJS; SDK.NodeJS,2017-10-07,,0,0,2,2017-10-26
54854,LOGistICAL: Japan,/app/718490/,2017-10-06,12,4,1,5,62.51,Casual (4),"Casual (4), Indie (23), Strategy (2)",Sacada,Sacada,SDK.CEF; SDK.SteamworksNET,2019-06-11,,0,0,12,2017-10-07
54855,Pi,/app/719740/,2017-10-16,1,4,1,5,62.51,Indie (23),"Action (1), Indie (23), Racing (9)",Petite Fleur Productions,Sylvain Seccia,nan,2017-09-23,,0,0,1,2017-09-22
54856,Halloween: Jigsaw Puzzles,/app/720600/,2017-10-20,2,4,1,5,62.51,Casual (4),Casual (4),ThinkVirtual,ThinkVirtual,Engine.Unity,2017-09-27,,0,0,2,2017-10-29
54857,Maze Up!,/app/728670/,2017-11-08,2,4,1,5,62.51,Casual (4),"Casual (4), Indie (23)",Inner Monkey,Inner Monkey,Engine.Unity,2017-10-03,,0,0,2,2017-11-10
54858,Rocket Armor,/app/734350/,2017-12-08,2,4,1,5,62.51,Action (1),"Action (1), Indie (23), Racing (9), Simulation (28), Early Access (70)",Illusion Foundry,Illusion Foundry,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-12-20,,0,0,2,2017-11-23
54859,Family Jewels,/app/738730/,2017-11-20,3,4,1,5,62.51,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Blue Mana,Michael McCartney,Engine.Unity,2017-11-11,,0,0,3,2017-11-20
54860,VR Hybrid War 2117 - VR混合战争2117,/app/741360/,2017-11-10,2,4,1,5,62.51,Action (1),Action (1),Appila Oy,Timo Polvinen,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2017-11-17,,0,0,2,2019-08-25
54861,HexaMon,/app/743480/,2017-11-18,3,4,1,5,62.51,Casual (4),"Casual (4), Indie (23)",Libredia Entertainment,Fancy Bytes,nan,2018-06-07,,0,0,3,2017-11-21
54862,Operation Red Dragon,/app/747730/,2017-12-15,4,4,1,5,62.51,Early Access (70),"Action (1), Adventure (25), Indie (23), Strategy (2), Early Access (70)",PBFP,PBFP,Engine.Unreal; SDK.CEF; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis,2017-11-02,,0,0,4,2017-11-24
54863,Nevertales: Legends Collector's Edition,/app/758640/,2017-12-18,3,4,1,5,62.51,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Mad Head Games,nan,2017-11-22,,0,1,3,2018-01-23
54864,Tank Force,/app/604500/,2017-10-23,434,1324,748,2072,62.5,Action (1),"Action (1), Casual (4), Free to Play (37), Massively Multiplayer (29), Simulation (28)",XDEVS LTD,XDEVS LTD,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-08-15,64.0,147,222,434,2018-05-28
54865,Saurian,/app/587450/,2017-08-02,609,997,560,1557,62.5,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Urvogel Games LLC,Urvogel Games LLC,Engine.Unity; SDK.FMOD; SDK.UnityBurst; SDK.cURL,2019-10-31,64.0,2,7,609,2017-08-03
54866,Bacon Tales - Between Pigs and Wolves,/app/508200/,2017-10-12,1166,34,16,50,62.49,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Uruca Game Studio,Uruca Game Studio,Engine.Unity,2022-07-28,66.0,0,0,1166,2022-08-06
54867,Gladiator: Sword of Vengeance,/app/577580/,2017-01-31,22,34,16,50,62.49,Action (1),"Action (1), Adventure (25)",Throwback Entertainment,Throwback Entertainment,nan,2021-02-26,68.0,0,1,22,2018-05-05
54868,Princess Maker Refine,/app/583040/,2017-02-17,71,220,118,338,62.48,Simulation (28),Simulation (28),Bliss Brain,CFK Co. Ltd.,nan,2019-10-30,64.0,0,4,71,2017-02-20
54869,False Shelter,/app/621150/,2017-04-20,2774,51,25,76,62.48,RPG (3),RPG (3),Amaterasu Software,Amaterasu Software,Engine.RPGMaker; SDK.NWJS,2017-04-11,67.0,33,554,3859,2023-04-15
54870,Spirit of Maya,/app/576730/,2017-01-06,3903,32,15,47,62.45,Indie (23),"Action (1), Indie (23)",Blind Recluse,Blind Recluse,nan,2019-11-26,68.0,0,0,3903,2018-03-08
54871,Paperback: The Game,/app/710700/,2017-11-29,1030,32,15,47,62.45,Casual (4),Casual (4),Fowers Games,Mark Fassett,nan,2017-11-24,68.0,1,4,1030,2023-02-21
54872,Rocks and Rockets,/app/715470/,2017-10-04,11,32,15,47,62.45,Adventure (25),"Adventure (25), Indie (23)",Metal Fox,Metal Fox,Engine.Unity,2017-09-14,68.0,0,1,11,2017-10-05
54873,Spiral Splatter,/app/684870/,2017-08-09,7,62,31,93,62.42,Casual (4),"Casual (4), Indie (23)",Sometimes You,Neonchimp Games,Engine.Unity,2019-11-09,66.0,2,3,7,2017-08-09
54874,Doodle Mafia,/app/598940/,2017-04-20,335,84,43,127,62.4,Casual (4),"Casual (4), Indie (23), Simulation (28)",JoyBits Ltd.,JoyBits Ltd.,SDK.FMOD; SDK.FreeImage,2017-03-23,65.0,0,2,335,2017-12-27
54875,Dragon Boar and Lady Rabbit,/app/769370/,2017-12-27,5,30,14,44,62.4,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",Droid Riot,Classic Game Software,SDK.NWJS,2022-04-14,68.0,0,1,5,2019-04-05
54876,Forgotten Lore,/app/391240/,2017-10-05,300,47,23,70,62.39,Strategy (2),"Casual (4), Indie (23), Massively Multiplayer (29), Strategy (2)",Coty Getzelman,Coty Getzelman,Engine.Unity,2019-09-19,67.0,0,0,300,2016-08-24
54877,Beast Mode: Night of the Werewolf,/app/655760/,2017-06-22,3,28,13,41,62.35,Action (1),Action (1),Apeirogon Games,Apeirogon Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis,2022-10-29,66.0,0,1,3,2020-06-15
54878,Loot'N Shoot,/app/698740/,2017-09-19,51,80,41,121,62.32,Action (1),"Sexual Content (71), Violent (73), Gore (74), Action (1), Casual (4), Free to Play (37), Indie (23)",hishapes,hishapes,Engine.Unity,2017-09-19,66.0,0,0,51,2019-05-27
54879,Fighting Fantasy Legends,/app/496340/,2017-07-27,61,109,57,166,62.31,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Nomad Games,Nomad Games,Engine.Marmalade; SDK.OpenSSL,2022-11-17,65.0,1,2,61,2017-07-28
54880,Sweven,/app/622880/,2017-04-22,8,26,12,38,62.31,Adventure (25),"Violent (73), Adventure (25), Indie (23)",CG-Interactive,CG-Interactive,Engine.Unity,2017-04-15,68.0,0,0,8,2017-07-05
54881,Slice Dice & Rice,/app/598450/,2017-04-27,62,448,249,697,62.29,Action (1),Action (1),Ultimate Games S.A.,Dojo Games,Engine.Unity,2019-02-21,64.0,0,3,62,2017-04-28
54882,The Hunting God,/app/679190/,2017-07-29,10,78,40,118,62.28,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Tonguç Bodur,Tonguç Bodur,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2022-10-29,66.0,1,1,10,2022-01-04
54883,Orange Moon,/app/432950/,2017-09-27,90,67,34,101,62.28,Indie (23),"Gore (74), Action (1), Adventure (25), Indie (23), RPG (3)",Betelgeuse Zero,Betelgeuse Zero,SDK.NWJS; SDK.NodeJS,2019-12-20,66.0,0,0,90,2017-07-20
54884,Worlds Adrift,/app/322780/,2017-05-24,2057,3468,2015,5483,62.26,Early Access (70),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), Early Access (70)",Bossa Studios,Bossa Studios,AntiCheat.EasyAntiCheat; Engine.Unity; SDK.Discord; SDK.NVIDIA_Ansel; SDK.Vivox; SDK.Wwise,2019-01-28,63.0,0,1,2057,2018-05-20
54885,Army Men: Toys in Space,/app/549180/,2017-12-20,9,41,20,61,62.24,Action (1),"Action (1), Strategy (2)",2K,The 3DO Company,SDK.Smacker_Video,2019-09-17,67.0,0,2,9,2018-03-10
54886,Ripple Effect,/app/574440/,2017-05-31,16,41,20,61,62.24,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28), Strategy (2)",Well Played Studio Inc,Well Played Studio Inc,Engine.Unity; SDK.OpenVR; SDK.Photon,2017-06-02,67.0,0,1,16,2017-06-01
54887,Ripple,/app/601240/,2017-03-31,704,41,20,61,62.24,Casual (4),"Casual (4), Indie (23)",Playrock Studios,Playrock Studios,Engine.Unity,2021-10-20,67.0,0,3,704,2022-10-10
54888,Immortal Planet,/app/631980/,2017-07-27,70,233,127,360,62.22,RPG (3),"Action (1), Adventure (25), Indie (23), RPG (3)",teedoubleuGAMES,teedoubleuGAMES,Engine.GameMaker,2017-07-05,64.0,0,1,70,2017-07-29
54889,The End oo,/app/509880/,2017-05-12,9,121,64,185,62.21,Adventure (25),"Action (1), Adventure (25), Free to Play (37), Indie (23)",xrrawva,xrrawva,SDK.SDL; SDK.Vorbis,2021-01-05,65.0,0,1,9,2017-05-12
54890,Yukie: A Japanese Winter Fairy Tale,/app/352810/,2017-07-14,3,22,10,32,62.21,Adventure (25),"Adventure (25), Indie (23)",PLAYISM,ImCyan,Engine.RPGMaker,2019-11-11,68.0,0,0,3,2017-07-14
54891,Awesome Metal Detecting,/app/582810/,2017-05-01,42,238,130,368,62.2,Simulation (28),"Action (1), Indie (23), Simulation (28)",Nikita Markin,Nikita Markin,Engine.Unity,2020-09-13,64.0,1,4,336,2023-04-24
54892,Army Men II,/app/549170/,2017-12-20,13,74,38,112,62.2,Action (1),"Action (1), Strategy (2)",2K,The 3DO Company,SDK.Smacker_Video,2019-09-17,66.0,1,2,13,2018-03-10
54893,M.E.R.C.,/app/555010/,2017-01-17,26,39,19,58,62.19,Strategy (2),"Action (1), Indie (23), Strategy (2), Early Access (70)",TinyMob Games,TinyMob Games,Engine.Unity; SDK.Photon; SDK.Wwise,2017-03-08,67.0,0,0,26,2017-01-18
54894,SoulSaverOnline,/app/542590/,2017-04-06,159,181,98,279,62.15,RPG (3),"Free to Play (37), Massively Multiplayer (29), RPG (3)",Netgame,Smartbig Corportion,AntiCheat.XIGNCODE3; SDK.Miles_Sound_System,2017-02-24,65.0,48,49,159,2017-04-16
