,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
23828,Find Objects,/app/1706890/,2021-08-10,2,1,0,1,59.42,Indie (23),"Casual (4), Indie (23), RPG (3), Strategy (2)",Boogygames Studios,Boogygames Studios,Engine.Unity,2021-07-26,,0,0,2,2021-08-25
23829,EscapeThisBigMaze!,/app/1707090/,2021-08-16,1,1,0,1,59.42,Indie (23),"Adventure (25), Indie (23), Simulation (28)",Amino Acid Studios,Andres Gonzalez,Engine.Unity,2021-07-30,,0,0,1,2021-08-16
23830,Zombie Quest,/app/1707470/,2021-12-21,2,1,0,1,59.42,Indie (23),"Indie (23), RPG (3), Early Access (70)",Double A Studios,Adrian Aksan,Engine.GameMaker,2023-01-15,,0,0,2,2022-01-07
23831,Star Fisher,/app/1707690/,2021-11-10,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Pulse Check Games,Pulse Check Games,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-11-06,,0,0,1,2021-11-10
23832,Schizm: Mysterious Journey,/app/1709550/,2021-10-08,2,1,0,1,59.42,Adventure (25),Adventure (25),LK Avalon,DETALION,SDK.Vorbis,2021-09-24,,0,0,2,2021-10-11
23833,Delicious Fruitworld,/app/1709570/,2021-12-11,2,1,0,1,59.42,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",Tortuga Software,Tortuga Software,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-11-04,,0,0,2,2021-12-11
23834,SAVED,/app/1710040/,2021-10-14,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",rushandev1,rushandev1,Engine.Unity,2022-01-13,,0,0,1,2021-10-14
23835,Vacation Adventures: Park Ranger 12,/app/1710970/,2021-10-20,4,1,0,1,59.42,Casual (4),Casual (4),Casual Arts,Casual Arts,SDK.OpenAL; SDK.Vorbis; SDK.cURL,2021-08-31,,0,1,4,2021-10-24
23836,Flyland Wars: 1 Mountain Climb,/app/1712030/,2021-10-04,1,1,0,1,59.42,Action (1),"Action (1), Indie (23)",Loren Logic,Loren Logic,nan,2022-01-06,,0,0,1,2021-10-07
23837,Nikhil Murthy's Syphilisation,/app/1712530/,2021-08-17,2,1,0,1,59.42,Strategy (2),"Indie (23), Simulation (28), Strategy (2), Early Access (70)",Why Not Games,Why Not Games,nan,2022-11-05,,0,0,2,2021-08-20
