ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
24200,Move Forward,2021-04-24,4,2,Indie (23),"Adventure (25), Indie (23)",Lukash Entertainment,Lukashevich Egor,Engine.Unity; SDK.UnityURP,2,2021-04-24
24201,Hamster Logic 3D,2021-06-26,4,2,Casual (4),"Casual (4), Indie (23)",Shoho Games,Shoho Games,Engine.Unity,5,2021-07-04
24202,Scraplers,2021-02-19,4,2,Indie (23),"Indie (23), RPG (3), Simulation (28), Early Access (70)",Cryoshark,Cryoshark,Engine.Unity; SDK.cURL,2,2021-02-19
24203,SAW HELL,2021-02-23,4,2,Indie (23),"Adventure (25), Indie (23)",HandMade Games,HandMade Games,SDK.NWJS; SDK.NodeJS,2,2021-11-01
24205,孙美琪疑案 第三季,2021-01-22,4,2,Indie (23),Indie (23),H.P.Y.SLLC,QZQ Studio,Engine.Unity; SDK.cURL,5,2021-01-23
24206,Exit Strategy,2021-02-05,4,2,Indie (23),"Adventure (25), Casual (4), Indie (23), Strategy (2), Early Access (70)",Rotospace Studios Inc.,Rotospace Studios Inc.,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,5,2021-02-28
24207,PATHFINDER 08,2021-01-28,4,2,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23)",THIAGO COSTA MENDES,THIAGO COSTA MENDES,Engine.Unity; Engine.XNA,2,2021-01-29
24208,Firescout,2021-03-12,4,2,Action (1),"Action (1), Casual (4), Strategy (2)",FiveDead Interactive Inc.,FiveDead Interactive Inc.,Engine.Unreal; SDK.CEF; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2,2021-01-29
24209,flaming/million,2021-02-15,4,2,RPG (3),RPG (3),nilson carroll,nilson carroll,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,2,2021-02-15
24210,Overpower,2021-07-15,4,2,Indie (23),"Adventure (25), Indie (23)",Playtinite Studio,Playtinite Studio,Engine.Unity,4,2022-02-04
24211,Overpower,2021-07-15,4,2,Indie (23),"Action (1), Indie (23), RPG (3), Early Access (70)",Hydrant Games,Hydrant Games,Engine.Unity,26,2016-04-26
24212,Overpower,2016-04-20,36,7,Indie (23),"Adventure (25), Indie (23)",Playtinite Studio,Playtinite Studio,Engine.Unity,4,2022-02-04
